掀桌子	(╯'-')╯︵┻━┻ (╯°Д°)╯︵┻━┻
摆桌子	┬─┬ノ('-'ノ)
车马炮	車马炮
出车	出車
阿尔法粒子	α粒子
阿尔法射线	α射线
贝塔粒子	β粒子
贝塔射线	β射线
伽马刀	γ刀
伽马射线	γ射线
六字真言	唵嘛呢叭咪吽 爱玩玩不玩滚
六字大明咒	唵嘛呢叭咪吽
星巴克	Starbucks
安卓	Android
推特	𝕏
Twitter	𝕏
橡胶果实	幻兽种·人人果实·尼卡（太阳神）形态
奔驰	Benz Mercedes-Benz
梅赛德斯	Mercedes
梅赛德斯-奔驰	奔驰 Mercedes-Benz
naive	naïve
cafe	café
resume	résumé
ankh	☥
生命之符	☥
双蛇杖	☤
双蛇之杖	☤
商神杖	☤
商神之杖	☤
商神权杖	☤
